Suma de item_id,title
922,Dead Man (1995)
9,Dead Man Walking (1995)
196,Dead Poets Society (1989)
1478,Dead Presidents (1995)
1092,Dear God (1996)
1109,Death and the Maiden (1994)
1593,Death in Brunswick (1991)
1577,"Death in the Garden (Mort en ce jardin, La) (1956)"
1915,Deceiver (1997)
345,Deconstructing Harry (1997)
353,Deep Rising (1998)
521,"Deer Hunter, The (1978)"
171,Delicatessen (1991)
1306,Delta of Venus (1994)
578,Demolition Man (1993)
1288,Denise Calls Up (1995)
1616,Desert Winds (1995)
2513,"Designated Mourner, The (1997)"
33,Desperado (1995)
677,Desperate Measures (1998)
1550,Destiny Turns on the Radio (1995)
770,Devil in a Blue Dress (1995)
307,"Devil's Advocate, The (1997)"
245,"Devil's Own, The (1997)"
106,Diabolique (1996)
505,Dial M for Murder (1954)
144,Die Hard (1988)
226,Die Hard 2 (1990)
550,Die Hard: With a Vengeance (1995)
1019,"Die xue shuang xiong (Killer, The) (1989)"
1346,Dingo (1992)
155,Dirty Dancing (1987)
43,Disclosure (1994)
855,Diva (1981)
44,Dolores Claiborne (1994)
778,Don Juan DeMarco (1995)
293,Donnie Brasco (1997)
1059,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
34,"Doom Generation, The (1995)"
1135,"Doors, The (1991)"
1111,Double Happiness (1994)
1088,Double Team (1997)
1005,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)"
522,Down by Law (1986)
926,Down Periscope (1996)
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
1052,Dracula: Dead and Loving It (1995)
472,Dragonheart (1996)
1549,Dream Man (1995)
1514,Dream With the Fishes (1997)
1036,Drop Dead Fred (1991)
779,Drop Zone (1994)
1427,Drunks (1995)
430,Duck Soup (1933)
780,Dumb & Dumber (1994)
501,Dumbo (1941)
1177,Dunston Checks In (1996)
1591,Duoluo tianshi (1995)
423,E.T. the Extra-Terrestrial (1982)
492,East of Eden (1955)
45,Eat Drink Man Woman (1994)
1287,Ed (1996)
47,Ed Wood (1994)
819,Eddie (1996)
331,"Edge, The (1997)"
1356,Ed's Next Move (1996)
1640,"Eighth Day, The (1996)"
283,Emma (1996)
172,"Empire Strikes Back, The (1980)"
707,Enchanted April (1991)
1184,"Endless Summer 2, The (1994)"
1535,"Enfer, L' (1994)"
286,"English Patient, The (1996)"
580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
1653,Entertaining Angels: The Dorothy Day Story (1996)
597,Eraser (1996)
831,Escape from L.A. (1996)
636,Escape from New York (1981)
1133,Escape to Witch Mountain (1975)
1634,Etz Hadomim Tafus (Under the Domin Tree) (1994)
1487,Even Cowgirls Get the Blues (1993)
1061,"Evening Star, The (1996)"
260,Event Horizon (1997)
1594,Everest (1998)
1348,Every Other Weekend (1990)
319,Everyone Says I Love You (1996)
887,Eve's Bayou (1997)
201,Evil Dead II (1987)
289,Evita (1996)
877,Excess Baggage (1997)
685,Executive Decision (1996)
725,Exit to Eden (1994)
46,Exotica (1994)
619,Extreme Measures (1996)
974,Eye for an Eye (1996)
1562,"Eye of Vichy, The (Oeil de Vichy, L') (1993)"
298,Face/Off (1997)
822,Faces (1968)
759,Fair Game (1995)
308,FairyTale: A True Story (1997)
1114,Faithful (1996)
1387,Fall (1997)
350,Fallen (1998)
1374,Falling in Love Again (1980)
1197,"Family Thing, A (1996)"
595,"Fan, The (1996)"
432,Fantasia (1940)
1531,Far From Home: The Adventures of Yellow Dog (1995)
921,Farewell My Concubine (1993)
1124,"Farewell to Arms, A (1932)"
100,Fargo (1996)
557,Farinelli: il castrato (1994)
1498,Farmer & Chase (1995)
1022,"Fast, Cheap & Out of Control (1997)"
74,Faster Pussycat! Kill! Kill! (1965)
579,Fatal Instinct (1993)
609,Father of the Bride (1950)
756,Father of the Bride Part II (1995)
1023,Fathers' Day (1997)
1367,Faust (1994)
1490,Fausto (1993)
1655,"Favor, The (1994)"
975,Fear (1996)
390,Fear of a Black Hat (1993)
1520,"Fear, The (1995)"
1045,Fearless (1993)
1108,Feast of July (1995)
1132,Feeling Minnesota (1996)
1082,Female Perversions (1996)
215,Field of Dreams (1989)
290,Fierce Creatures (1997)
250,"Fifth Element, The (1997)"
1158,"Fille seule, La (A Single Girl) (1995)"
1025,Fire Down Below (1997)
677,Fire on the Mountain (1996)
1105,Firestorm (1998)
77,"Firm, The (1993)"
932,First Kid (1996)
720,First Knight (1995)
476,"First Wives Club, The (1996)"
153,"Fish Called Wanda, A (1988)"
829,Fled (1996)
1212,Flesh and Bone (1993)
383,"Flintstones, The (1994)"
112,Flipper (1996)
1495,Flirt (1995)
1098,Flirting With Disaster (1996)
927,"Flower of My Secret, The (Flor de mi secreto, La) (1995)"
892,Flubber (1997)
726,Fluke (1995)
804,Fly Away Home (1996)
635,"Fog, The (1980)"
869,Fools Rush In (1997)
1391,For Ever Mozart (1996)
1249,For Love or Money (1993)
893,For Richer or Poorer (1997)
1357,For the Moment (1994)
601,For Whom the Bell Tolls (1943)
1369,"Forbidden Christ, The (Cristo proibito, Il) (1950)"
434,Forbidden Planet (1956)
1451,Foreign Correspondent (1940)
1532,Foreign Student (1994)
1041,Forget Paris (1995)
69,Forrest Gump (1994)
1062,Four Days in September (1997)
3,Four Rooms (1995)
70,Four Weddings and a Funeral (1994)
946,"Fox and the Hound, The (1981)"
1263,Foxfire (1996)
1545,Frankie Starlight (1995)
78,Free Willy (1993)
35,Free Willy 2: The Adventure Home (1995)
457,Free Willy 3: The Rescue (1997)
844,Freeway (1996)
781,French Kiss (1995)
16,French Twist (Gazon maudit) (1995)
1169,Fresh (1994)
1218,Friday (1995)
660,Fried Green Tomatoes (1991)
123,"Frighteners, The (1996)"
817,Frisk (1995)
17,From Dusk Till Dawn (1996)
79,"Fugitive, The (1993)"
188,Full Metal Jacket (1987)
269,"Full Monty, The (1997)"
1238,Full Speed (1996)
933,"Funeral, The (1996)"
965,Funny Face (1957)
1671,"Further Gesture, A (1996)"
326,G.I. Jane (1997)
1388,Gabbeh (1996)
333,"Game, The (1997)"
527,Gandhi (1982)
1280,Gang Related (1997)
863,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)"
1020,Gaslight (1944)
1482,"Gate of Heavenly Peace, The (1995)"
270,Gattaca (1997)
835,"Gay Divorcee, The (1934)"
259,George of the Jungle (1997)
950,Georgia (1995)
1488,Germinal (1993)
1004,Geronimo: An American Legend (1993)
1134,Get on the Bus (1996)
4,Get Shorty (1995)
1303,"Getaway, The (1994)"
1659,Getting Away With Murder (1996)
1509,Getting Even with Dad (1994)
402,Ghost (1990)
1050,"Ghost and Mrs. Muir, The (1947)"
148,"Ghost and the Darkness, The (1996)"
1240,Ghost in the Shell (Kokaku kidotai) (1995)
1136,Ghosts of Mississippi (1996)
614,Giant (1956)
610,Gigi (1958)
1420,Gilligan's Island: The Movie (1998)
818,Girl 6 (1996)
1486,Girl in the Cadillac (1995)
1637,Girls Town (1996)
1551,"Glass Shield, The (1994)"
160,Glengarry Glen Ross (1992)
841,"Glimmer Man, The (1996)"
651,Glory (1989)
733,Go Fish (1994)
127,"Godfather, The (1972)"
187,"Godfather: Part II, The (1974)"
1503,Gold Diggers: The Secret of Bear Mountain (1995)
1450,Golden Earrings (1947)
2,GoldenEye (1995)
1254,Gone Fishin' (1997)
133,Gone with the Wind (1939)
1523,"Good Man in Africa, A (1994)"
1373,Good Morning (1971)
272,Good Will Hunting (1997)
177,"Good, The Bad and The Ugly, The (1966)"
182,GoodFellas (1990)
1219,"Goofy Movie, A (1995)"
1408,Gordy (1995)
1426,Grace of My Heart (1996)
197,"Graduate, The (1967)"
189,"Grand Day Out, A (1992)"
1282,"Grass Harp, The (1995)"
973,Grateful Dead (1995)
451,Grease (1978)
1037,Grease 2 (1982)
814,"Great Day in Harlem, A (1994)"
524,"Great Dictator, The (1940)"
520,"Great Escape, The (1963)"
905,Great Expectations (1998)
630,"Great Race, The (1965)"
824,"Great White Hype, The (1996)"
1245,Gridlock'd (1997)
642,"Grifters, The (1990)"
1499,Grosse Fatigue (1994)
248,Grosse Pointe Blank (1997)
202,Groundhog Day (1993)
1028,Grumpier Old Men (1995)
1600,Guantanamera (1994)
1213,Guilty as Sin (1993)
1470,Gumby: The Movie (1995)
1139,Hackers (1995)
908,Half Baked (1998)
834,Halloween: The Curse of Michael Myers (1995)
1039,Hamlet (1996)
1647,Hana-bi (1997)
763,Happy Gilmore (1996)
1143,Hard Eight (1996)
349,Hard Rain (1998)
802,Hard Target (1993)
1410,Harlem (1993)
428,Harold and Maude (1971)
929,Harriet the Spy (1996)
1097,"Hate (Haine, La) (1995)"
115,"Haunted World of Edward D. Wood Jr., The (1995)"
1604,He Walked by Night (1948)
992,Head Above Water (1996)
970,Hear My Song (1991)
868,Hearts and Minds (1996)
273,Heat (1995)
433,Heathers (1989)
803,Heaven & Earth (1993)
558,Heavenly Creatures (1994)
978,Heaven's Prisoners (1996)
594,Heavy (1995)
101,Heavy Metal (1981)
377,Heavyweights (1994)
1341,Hedd Wyn (1992)
1128,Heidi Fleiss: Hollywood Madam (1995)
590,Hellraiser: Bloodline (1996)
190,Henry V (1989)
1480,Herbie Rides Again (1974)
993,Hercules (1997)
1461,Here Comes Cookie (1935)
1471,Hideaway (1995)
661,High Noon (1952)
1095,High School High (1996)
1220,Higher Learning (1995)
431,Highlander (1986)
1419,Highlander III: The Sorcerer (1994)
494,His Girl Friday (1940)
1380,Hollow Reed (1996)
1320,Homage (1995)
94,Home Alone (1990)
894,Home Alone 3 (1997)
716,Home for the Holidays (1995)
1033,Homeward Bound II: Lost in San Francisco (1996)
140,Homeward Bound: The Incredible Journey (1993)
299,Hoodlum (1997)
48,Hoop Dreams (1994)
1316,"Horse Whisperer, The (1998)"
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
1559,Hostile Intentions (1994)
80,Hot Shots! Part Deux (1993)
1377,Hotel de Love (1996)
587,"Hour of the Pig, The (1993)"
1049,House Arrest (1996)
704,"House of the Spirits, The (1993)"
337,"House of Yes, The (1997)"
1437,House Party 3 (1994)
376,Houseguest (1994)
335,How to Be a Player (1997)
949,How to Make an American Quilt (1995)
637,"Howling, The (1981)"
81,"Hudsucker Proxy, The (1994)"
2792,Hugo Pool (1997)
596,"Hunchback of Notre Dame, The (1996)"
1576,"Hungarian Fairy Tale, A (1987)"
265,"Hunt for Red October, The (1990)"
1552,"Hunted, The (1995)"
3002,Hurricane Streets (1998)
1624,Hush (1998)
1370,I Can't Sleep (J'ai pas sommeil) (1994)
1533,I Don't Want to Talk About It (De eso no se habla) (1993)
682,I Know What You Did Last Summer (1997)
1424,I Like It Like That (1994)
1180,I Love Trouble (1994)
1008,I Shot Andy Warhol (1996)
1575,"I, Worst of All (Yo, la peor de todas) (1990)"
49,I.Q. (1994)
1170,"Ice Storm, The (1997)"
764,If Lucy Fell (1996)
1425,I'll Do Anything (1994)
1430,Ill Gotten Gains (1997)
1120,I'm Not Rappaport (1996)
727,Immortal Beloved (1994)
301,In & Out (1997)
1152,In Love and War (1996)
1185,In the Army Now (1994)
718,In the Bleak Midwinter (1995)
262,In the Company of Men (1997)
838,In the Line of Duty 2 (1987)
684,In the Line of Fire (1993)
800,In the Mouth of Madness (1995)
317,In the Name of the Father (1993)
1214,In the Realm of the Senses (Ai no corrida) (1976)
361,Incognito (1997)
121,Independence Day (ID4) (1996)
951,"Indian in the Cupboard, The (1995)"
1296,Indian Summer (1996)
210,Indiana Jones and the Last Crusade (1989)
1355,Infinity (1996)
1186,"Inkwell, The (1994)"
1390,"Innocent Sleep, The (1995)"
1125,"Innocents, The (1961)"
968,"Inspector General, The (1949)"
559,Interview with the Vampire (1994)
1611,Intimate Relations (1996)
1315,Inventing the Abbotts (1997)
1583,"Invitation, The (Zaproszenie) (1986)"
931,"Island of Dr. Moreau, The (1996)"
794,It Could Happen to You (1994)
604,It Happened One Night (1934)
1544,It Takes Two (1995)
496,It's a Wonderful Life (1946)
1086,It's My Party (1995)
409,Jack (1996)
1289,Jack and Sarah (1995)
689,"Jackal, The (1997)"
346,Jackie Brown (1997)
455,Jackie Chan's First Strike (1996)
1207,Jade (1995)
473,James and the Giant Peach (1996)
740,Jane Eyre (1996)
1439,Jason's Lyric (1994)
234,Jaws (1975)
452,Jaws 2 (1978)
453,Jaws 3-D (1983)
165,Jean de Florette (1986)
1530,Jefferson in Paris (1995)
372,Jeffrey (1995)
1484,"Jerky Boys, The (1994)"
237,Jerry Maguire (1996)
804,Jimmy Hollywood (1994)
862,Jingle All the Way (1996)
1366,JLG/JLG - autoportrait de décembre (1994)
1079,Joe's Apartment (1996)
1365,Johnny 100 Pesos (1993)
771,Johnny Mnemonic (1995)
1543,Johns (1996)
1317,"Journey of August King, The (1995)"
1418,"Joy Luck Club, The (1993)"
149,Jude (1996)
373,Judge Dredd (1995)
1222,Judgment Night (1993)
755,Jumanji (1995)
465,"Jungle Book, The (1994)"
243,Jungle2Jungle (1997)
728,Junior (1994)
1130,Jupiter's Wife (1994)
82,Jurassic Park (1993)
717,"Juror, The (1996)"
1029,Jury Duty (1995)
1042,Just Cause (1995)
581,Kalifornia (1993)
532,Kama Sutra: A Tale of Love (1996)
130,Kansas City (1996)
1524,Kaspar Hauser (1993)
1336,Kazaam (1996)
991,Keys to Tulsa (1997)
1295,Kicked in the Head (1997)
695,Kicking and Screaming (1995)
560,"Kid in King Arthur's Court, A (1995)"
772,Kids (1995)
108,Kids in the Hall: Brain Candy (1996)
1672,Kika (1993)
1275,Killer (Bulletproof Heart) (1994)
1505,Killer: A Journal of Murder (1995)
528,"Killing Fields, The (1984)"
943,Killing Zoe (1994)
1200,Kim (1950)
1618,King of New York (1990)
1223,King of the Hill (1993)
410,Kingpin (1996)
995,"Kiss Me, Guido (1997)"
1208,Kiss of Death (1995)
332,Kiss the Girls (1997)
1216,Kissed (1996)
242,Kolya (1996)
1065,Koyaanisqatsi (1983)
946,Kull the Conqueror (1997)
900,Kundun (1997)
302,L.A. Confidential (1997)
1452,Lady of Burlesque (1943)
1445,Ladybird Ladybird (1994)
1628,Lamerica (1994)
1632,Land and Freedom (Tierra y libertad) (1995)
1412,Land Before Time III: The Time of the Great Giving (1995) (V)
1337,Larger Than Life (1996)
1586,Lashou shentan (1992)
1031,Lassie (1994)
391,Last Action Hero (1993)
1150,Last Dance (1996)
1331,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)"
840,Last Man Standing (1996)
241,"Last of the Mohicans, The (1992)"
1465,Last Summer in the Hamptons (1995)
741,"Last Supper, The (1995)"
994,"Last Time I Committed Suicide, The (1997)"
1123,"Last Time I Saw Paris, The (1954)"
1302,Late Bloomers (1996)
611,Laura (1944)
758,Lawnmower Man 2: Beyond Cyberspace (1996)
145,"Lawnmower Man, The (1992)"
511,Lawrence of Arabia (1962)
1026,"Lay of the Land, The (1997)"
1612,"Leading Man, The (1996)"
688,Leave It to Beaver (1997)
276,Leaving Las Vegas (1995)
1431,Legal Deceit (1997)
51,Legends of the Fall (1994)
1363,"Leopard Son, The (1996)"
1191,"Letter From Death Row, A (1998)"
294,Liar Liar (1997)
1580,Liebelei (1933)
886,"Life Less Ordinary, A (1997)"
1270,Life with Mikey (1993)
1000,Lightning Jack (1994)
462,Like Water For Chocolate (Como agua para chocolate) (1992)
1497,"Line King: Al Hirschfeld, The (1996)"
71,"Lion King, The (1994)"
1032,Little Big League (1994)
1168,Little Buddha (1993)
1656,Little City (1998)
967,Little Lord Fauntleroy (1936)
782,Little Odessa (1994)
1063,"Little Princess, A (1995)"
1473,"Little Princess, The (1939)"
400,"Little Rascals, The (1994)"
699,Little Women (1994)
1093,Live Nude Girls (1995)
1070,Living in Oblivion (1995)
